country,iso3c,year,Pillar 1  - Data Use - Score,Pillar 2 - Data Services - Score,Pillar 3 - Data Products - Score,Pillar 4 - Data Sources - Score,Pillar 5 - Data Infrastructure - Score,SPI Overall Score,Dimension 1.5: Data use by international organizations,Dimension 2.1: Data Releases,Dimension 2.2: Online access,Dimension 2.4: Data services,Dimension 3.1: Social Statistics,Dimension 3.2: Economic Statistics,Dimension 3.3: Environmental Statistics,Dimension 3.4: Institutional Statistics,Dimension 4.1: Censuses,Dimension 4.1: Surveys,Dimension 4.2: Administrative Data,Dimension 4.3: Geospatial Data,Dimension 5.1: Legislation and governance,Dimension 5.2: Standards and Methods,Dimension 5.5: Finance,Dimension 1.5: Data use by international organisations - Availability of Comparable Poverty headcount ratio at $2.15 a day,"Dimension 1.5: Data use by international organisations - Availability of Mortality rate, under-5 (per 1,000 live births) data meeting quality standards according to UN IGME",Dimension 1.5: Data use by international organisations - Quality of Debt service data according to World Bank,Dimension 1.5: Data use by international organisations - Safely Managed Drinking Water,Dimension 1.5: Data use by international organisations - Labor force participation rate by sex and age (%),Dimension 2.1: Data releases - SDDS/e-GDDS subscription,Dimension 2.2: Online access - Machine Readability Score,Dimension 2.2: Online access - Non-Proprietary format Score,Dimension 2.2: Online access - Download Options Score,Dimension 2.2: Online access - Metadata Available Score,Dimension 2.2: Online access - Terms of Use Score,Dimension 2.2: Online access - ODIN Open Data Openness score,Dimension 2.4: Data access services - NADA metadata,Dimension 3.1: SDG Goal 1 - GOAL 1: No Poverty,Dimension 3.2: SDG Goal 2 - GOAL 2: Zero Hunger,Dimension 3.3: SDG Goal 3 - GOAL 3: Good Health and Well-being,Dimension 3.4: SDG Goal 4 - GOAL 4: Quality Education,Dimension 3.5: SDG Goal 5 - GOAL 5: Gender Equality,Dimension 3.6: SDG Goal 6 - GOAL 6: Clean Water and Sanitation,Dimension 3.7: SDG Goal 7 - GOAL 7: Affordable and Clean Energy,Dimension 3.8: SDG Goal 8 - GOAL 8: Decent Work and Economic Growth,"Dimension 3.9: SDG Goal 9 - GOAL 9: Industry, Innovation and Infrastructure",Dimension 3.10: SDG Goal 10 - GOAL 10: Reduced Inequality,Dimension 3.11: SDG Goal 11 - GOAL 11: Sustainable Cities and Communities,Dimension 3.12: SDG Goal 12 - GOAL 12: Responsible Consumption and Production,Dimension 3.13: SDG Goal 13 - GOAL 13: Climate Action,Dimension 3.15: SDG Goal 15 - GOAL 15: Life on Land,Dimension 3.16: SDG Goal 16 - GOAL 16: Peace and Justice Strong Institutions,Dimension 3.17: SDG Goal 17 - GOAL 17: Partnerships to achieve the Goal,Dimension 4.1: censuses and surveys - Population & Housing census,Dimension 4.1: censuses and surveys - Agriculture census,Dimension 4.1: censuses and surveys - Business/establishment census,"Dimension 4.1: censuses and surveys - Household Survey on income, etc",Dimension 4.1: censuses and surveys - Agriculture survey,Dimension 4.1: censuses and surveys - Labor Force Survey,Dimension 4.1: censuses and surveys - Health/Demographic survey,Dimension 4.1: censuses and surveys - Business/establishment survey,Dimension 4.2: administrative data - CRVS (WDI),Dimension 4.3: geospatial data - Geospatial data available at 1st Admin Level,Dimension 5.1: Legislation and governance - Legislation Indicator based on PARIS21 indicators on SDG 17.18.2,Dimension 5.2: standards - System of national accounts in use,Dimension 5.2: standards - National Accounts base year,Dimension 5.2: standards - Classification of national industry,Dimension 5.2: standards - CPI base year,Dimension 5.2: standards - Classification of household consumption,Dimension 5.2: standards - Classification of status of employment,Dimension 5.2: standards - Central government accounting status,Dimension 5.2: standards - Compilation of government finance statistics,Dimension 5.2: standards - Compilation of monetary and financial statistics,Dimension 5.2: standards - Business process,Dimension 5.5: Finance - Finance Indicator based on PARIS21 indicators on SDG 17.18.3 & SDG 17.19.1,income,region,weights,population
Ireland,IRL,2022,100,96.4,87.15,72.88333333,100,91.28666667,1,1,0.892,1,0.819166667,0.8695,1,0.906,0.833333333,0.934,1,0.148,1,1,1,1,1,1,1,1,1,0.952,0.952,0.869,0.736,0.952,0.892,1,1,0.8,0.84,0.6,0.8,0.875,0.667,1,1,0.75,1,0.8,1,1,1,0.812,1,0.5,1,1,1,1,0.67,1,1,0.148,1,1,1,1,1,1,1,1,1,1,1,1,High income,Europe & Central Asia,1,5127170
France,FRA,2022,100,92.1,86.2125,75.60833333,100,90.78416667,1,1,0.763,1,0.835833333,0.861166667,1,0.806,0.833333333,0.934,1,0.257,1,1,1,1,1,1,1,1,1,0.819,0.926,0.467,0.719,0.883,0.763,1,1,0.7,0.84,0.8,0.8,0.875,0.667,1,0.9,1,0.8,0.8,1,1,0.8,0.812,1,0.5,1,1,1,1,0.67,1,1,0.257,1,1,1,1,1,1,1,1,1,1,1,1,High income,Europe & Central Asia,1,67971311
Georgia,GEO,2022,100,91.96666667,91.4625,79.9,90,90.66583333,1,1,0.759,1,0.91,0.928166667,0.8335,0.969,1,0.934,1,0.262,1,0.9,1,1,1,1,1,1,1,0.8,0.919,0.638,0.595,0.84,0.759,1,1,0.9,0.96,0.8,0.8,1,0.944,0.875,1,0.75,1,1,0.667,1,1,0.938,1,1,1,1,1,1,0.67,1,1,0.262,1,1,1,1,1,1,1,0.5,0.5,1,1,1,Upper middle income,Europe & Central Asia,1,3712502
Czechia,CZE,2022,100,88.83333333,84.38125,79.45833333,100,90.53458333,1,1,0.665,1,0.757833333,0.857,1,0.906,0.833333333,0.866,1,0.479,1,1,1,1,1,1,1,1,1,0.95,0.95,0.376,0.564,0.483,0.665,1,0.857,0.7,0.84,0.6,0.8,0.75,0.667,1,1,0.875,0.8,0.8,1,1,1,0.812,1,0.5,1,1,1,1,0.33,1,1,0.479,1,1,1,1,1,1,1,1,1,1,1,1,High income,Europe & Central Asia,1,10672118
Austria,AUT,2022,100,89.53333333,88.6375,76.78333333,95,89.99083333,1,1,0.686,1,0.84,0.877833333,1,0.9375,0.833333333,0.934,1,0.304,1,0.95,1,1,1,1,1,1,1,0.871,0.905,0.543,0.657,0.452,0.686,1,1,0.8,0.84,0.6,0.8,1,0.667,1,1,1,0.8,0.8,1,1,1,0.875,1,0.5,1,1,1,1,0.67,1,1,0.304,1,1,1,1,0.5,1,1,1,1,1,1,1,High income,Europe & Central Asia,1,9041851
Australia,AUS,2022,90,92.9,82.95625,83.875,100,89.94625,0.9,1,0.787,1,0.805,0.823666667,0.9445,0.806,1,1,1,0.355,1,1,1,1,1,1,0.5,1,1,0.952,0.662,0.531,0.836,0.952,0.787,1,1,0.8,0.88,0.6,0.8,0.75,0.667,1,0.8,0.875,0.8,0.8,1,0.889,0.8,0.812,1,1,1,1,1,1,1,1,1,0.355,1,1,1,1,1,1,1,1,1,1,1,1,High income,East Asia & Pacific,1,26005540
Costa Rica,CRI,2022,100,86.33333333,93.0875,80.2,90,89.92416667,1,1,0.59,1,0.983333333,0.983333333,0.778,0.769,1,0.934,1,0.274,1,0.9,1,1,1,1,1,1,1,0.869,0.731,0.271,0.467,0.614,0.59,1,1,0.9,1,1,1,1,1,1,0.9,1,1,1,0.667,0.889,0.6,0.938,1,1,1,1,1,1,0.67,1,1,0.274,1,1,1,1,0.5,1,1,1,0.5,1,1,1,Upper middle income,Latin America & Caribbean,1,5180829
Japan,JPN,2022,100,90.3,84.88125,79.18333333,95,89.87291667,1,1,0.709,1,0.787833333,0.873666667,1,0.806,0.833333333,1,1,0.334,1,0.95,1,1,1,1,1,1,1,1,0.698,0.429,0.467,0.952,0.709,1,0.857,0.8,0.92,0.6,0.8,0.75,0.667,1,0.9,0.875,1,0.8,1,1,0.8,0.812,1,0.5,1,1,1,1,1,1,1,0.334,1,1,1,1,0.5,1,1,1,1,1,1,1,High income,East Asia & Pacific,1,125124989
Estonia,EST,2022,90,96.86666667,83.8875,77.00833333,100,89.5525,0.9,1,0.906,1,0.8025,0.836166667,0.889,0.906,0.833333333,0.934,1,0.313,1,1,1,1,1,1,0.5,1,1,0.967,0.967,0.843,0.917,0.838,0.906,1,1,0.7,0.84,0.6,0.8,0.875,0.667,0.875,1,0.875,0.8,0.8,1,0.778,1,0.812,1,0.5,1,1,1,1,0.67,1,1,0.313,1,1,1,1,1,1,1,1,1,1,1,1,High income,Europe & Central Asia,1,1348840
Portugal,PRT,2022,90,93.06666667,87.39375,76.10833333,100,89.31375,0.9,1,0.792,1,0.835833333,0.877833333,0.9445,0.906,0.833333333,0.934,1,0.277,1,1,1,1,1,1,1,0.5,1,0.967,0.871,0.729,0.862,0.531,0.792,1,1,0.7,0.84,0.8,0.8,0.875,0.667,1,1,1,0.8,0.8,1,0.889,1,0.812,1,0.5,1,1,1,1,0.67,1,1,0.277,1,1,1,1,1,1,1,1,1,1,1,1,High income,Europe & Central Asia,1,10409704
Latvia,LVA,2022,100,97.06666667,76.05625,70.90833333,100,88.80625,1,1,0.912,1,0.7715,0.7695,0.5555,0.906,0.833333333,0.934,1,0.069,1,1,1,1,1,1,1,1,1,0.967,1,0.852,0.852,0.888,0.912,1,0.714,0.8,0.84,0.6,0.8,0.875,0.667,0.875,1,0.875,0.4,0.8,0.333,0.778,1,0.812,1,0.5,1,1,1,1,0.67,1,1,0.069,1,1,1,1,1,1,1,1,1,1,1,1,High income,Europe & Central Asia,1,1879383
Slovak Republic,SVK,2022,90,94.46666667,85.275,74.25833333,100,88.8,0.9,1,0.834,1,0.8025,0.836166667,1,0.906,0.833333333,0.866,1,0.271,1,1,1,1,1,1,0.5,1,1,0.933,0.933,0.8,0.571,0.933,0.834,1,1,0.7,0.84,0.6,0.8,0.875,0.667,1,1,0.75,0.8,0.8,1,1,1,0.812,1,0.5,1,1,1,1,0.33,1,1,0.271,1,1,1,1,1,1,1,1,1,1,1,1,High income,Europe & Central Asia,1,5431752
Switzerland,CHE,2022,100,88.4,85.575,80.00833333,90,88.79666667,1,1,0.652,1,0.829166667,0.861166667,1,0.775,0.833333333,1,1,0.367,1,0.9,1,1,1,1,1,1,1,0.95,1,0.648,0.645,0.017,0.652,1,1,0.9,0.8,0.6,0.8,0.875,0.667,1,0.9,1,0.8,0.8,1,1,0.8,0.75,1,0.5,1,1,1,1,1,1,1,0.367,1,1,1,1,1,1,1,1,1,0,1,1,High income,Europe & Central Asia,1,8775760
Greece,GRC,2022,100,88.1,78.61875,77.00833333,100,88.74541667,1,1,0.643,1,0.7715,0.790333333,0.6665,0.9375,0.833333333,0.934,1,0.313,1,1,1,1,1,1,1,1,1,0.624,0.862,0.286,0.56,0.886,0.643,1,0.714,0.8,0.84,0.6,0.8,0.875,0.667,1,1,0.875,0.4,0.8,0.333,1,1,0.875,1,0.5,1,1,1,1,0.67,1,1,0.313,1,1,1,1,1,1,1,1,1,1,1,1,High income,Europe & Central Asia,1,10426919
Belgium,BEL,2022,100,86.93333333,81.25625,74.75833333,100,88.58958333,1,1,0.608,1,0.8315,0.811166667,0.6665,0.906,0.833333333,0.934,1,0.223,1,1,1,1,1,1,1,1,1,0.9,0.76,0.626,0.467,0.286,0.608,1,0.714,0.8,0.8,0.8,1,0.875,0.667,1,1,1,0.4,0.8,0.333,1,1,0.812,1,0.5,1,1,1,1,0.67,1,1,0.223,1,1,1,1,1,1,1,1,1,1,1,1,High income,Europe & Central Asia,1,11685814
Mexico,MEX,2022,100,93.4,92.9625,81.45833333,75,88.56416667,1,1,0.802,1,0.946666667,0.983333333,0.778,0.869,0.833333333,0.934,1,0.491,1,0.75,1,1,1,1,1,1,1,0.933,0.883,0.702,0.631,0.862,0.802,1,1,1,0.88,0.8,1,1,1,1,0.9,1,1,1,0.667,0.889,0.8,0.938,1,0.5,1,1,1,1,0.67,1,1,0.491,1,1,0.5,1,0.5,1,1,0.5,0,1,1,1,Upper middle income,Latin America & Caribbean,1,127504125
Luxembourg,LUX,2022,100,93.4,81.675,65.83333333,100,88.18166667,1,1,0.802,1,0.795333333,0.802833333,0.8335,0.906,0.833333333,0.8,1,0,1,1,1,1,1,1,1,1,1,0.917,0.91,0.762,0.49,0.933,0.802,1,0.857,0.8,0.84,0.6,0.8,0.875,0.667,1,1,0.75,0.6,0.8,0.667,1,1,0.812,1,0.5,1,1,0.33,1,0.67,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,High income,Europe & Central Asia,1,653103
New Zealand,NZL,2022,100,92.43333333,82.88125,75.05,90,88.07291667,1,1,0.773,1,0.778166667,0.8195,1,0.8375,1,0.866,1,0.136,1,0.9,1,1,1,1,1,1,1,0.933,0.95,0.555,0.55,0.876,0.773,1,0.714,0.8,0.88,0.6,0.8,0.875,0.667,1,0.9,0.75,0.8,0.8,1,1,0.8,0.875,1,1,1,1,1,1,0.33,1,1,0.136,1,1,1,1,1,1,1,0,1,1,1,1,High income,East Asia & Pacific,1,5124100
"Korea, Rep.",KOR,2022,100,92.06666667,82.9625,79.18333333,85,87.8425,1,1,0.762,1,0.818666667,0.8805,0.8335,0.706,0.833333333,1,1,0.334,1,0.85,1,1,1,1,1,1,1,0.869,0.886,0.745,0.443,0.869,0.762,1,0.857,0.9,0.88,0.6,0.8,0.875,0.833,0.875,0.9,0.875,0.8,1,0.667,1,0.6,0.812,1,0.5,1,1,1,1,1,1,1,0.334,1,1,1,1,0.5,1,1,0,1,1,1,1,High income,East Asia & Pacific,1,51628117
Lithuania,LTU,2022,90,91.06666667,82.31875,75.53333333,100,87.78375,0.9,1,0.732,1,0.8495,0.802833333,0.7225,0.906,0.833333333,0.866,1,0.322,1,1,1,1,1,1,0.5,1,1,1,1,0.812,0.8,0.048,0.732,1,0.857,0.8,0.84,0.6,1,1,0.667,0.875,1,0.875,0.6,0.8,0.667,0.778,1,0.812,1,0.5,1,1,1,1,0.33,1,1,0.322,1,1,1,1,1,1,1,1,1,1,1,1,High income,Europe & Central Asia,1,2831639
Turkiye,TUR,2022,100,86.8,94.1875,57.58333333,100,87.71416667,1,1,0.604,1,0.845,1,1,1,0.333333333,0.866,1,0.104,1,1,1,1,1,1,1,1,1,0.933,0.162,0.483,0.602,0.838,0.604,1,1,0.8,0.92,0.6,1,0.75,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0.33,1,1,1,1,0.104,1,1,1,1,1,1,1,1,1,1,1,1,Upper middle income,Europe & Central Asia,1,84979913
Hungary,HUN,2022,100,89,88.24375,70.61666667,90,87.57208333,1,1,0.67,1,0.84,0.877833333,1,0.906,0.666666667,0.866,1,0.292,1,0.9,1,1,1,1,1,1,1,1,0.919,0.548,0.886,0,0.67,1,1,0.8,0.84,0.6,0.8,1,0.667,1,1,1,0.8,0.8,1,1,1,0.812,0.5,0.5,1,1,1,1,0.33,1,1,0.292,1,1,1,1,0,1,1,1,1,1,1,1,High income,Europe & Central Asia,1,9643048
Chile,CHL,2022,100,85.56666667,87.24375,69.40833333,95,87.44375,1,1,0.567,1,0.863333333,0.95,0.8335,0.706,0.833333333,0.6,1,0.343,1,0.95,1,1,1,1,1,1,1,0.733,0.771,0.317,0.467,0.545,0.567,1,1,0.7,0.88,0.8,0.8,1,1,1,0.9,1,0.8,1,0.667,1,0.6,0.812,1,0.5,1,1,0,1,0,1,1,0.343,1,1,1,1,0.5,1,1,1,1,1,1,1,High income,Latin America & Caribbean,1,19603733
Iceland,ISL,2022,100,86.3,76.30625,71.80833333,100,86.88291667,1,1,0.589,1,0.7745,0.786166667,0.6165,0.806,0.833333333,0.934,1,0.105,1,1,1,1,1,1,1,1,1,0.852,0.852,0.795,0.443,0,0.589,1,0.857,0.8,0.84,0.6,0.8,0.75,0.667,1,0.9,0.75,0.6,0.8,0.333,0.9,0.8,0.812,1,0.5,1,1,1,1,0.67,1,1,0.105,1,1,1,1,1,1,1,1,1,1,1,1,High income,Europe & Central Asia,1,382003
Belarus,BLR,2022,100,85.36666667,87.49375,65.41666667,95,86.65541667,1,1,0.561,1,0.88,0.815333333,0.9445,0.969,0.666666667,0.534,1,0.416,0,0.95,0,1,1,1,1,1,1,0.79,0.881,0.502,0.633,0,0.561,1,1,0.6,0.88,1,0.8,1,0.667,0.75,1,0.875,1,0.6,1,0.889,1,0.938,1,0,1,1,0,1,0.67,0,1,0.416,0,1,1,1,1,1,1,0.5,1,1,1,0,Upper middle income,Europe & Central Asia,1,9228071
Colombia,COL,2022,100,82.93333333,92.3375,77.575,80,86.56916667,1,1,0.488,1,0.913333333,1,0.778,0.869,1,0.934,1,0.169,1,0.8,1,1,1,1,1,1,1,0.8,0.395,0.164,0.645,0.433,0.488,1,1,0.8,0.88,1,0.8,1,1,1,1,1,1,1,0.667,0.889,0.8,0.938,1,1,1,1,1,1,0.67,1,1,0.169,1,1,0.5,1,0.5,1,1,1,0,1,1,1,Upper middle income,Latin America & Caribbean,1,51874024
Singapore,SGP,2022,100,99.73333333,64.13125,88.925,80,86.55791667,1,1,0.992,1,0.585166667,0.7555,0.3335,0.775,1,0.8,1,0.757,1,0.8,1,1,1,1,1,1,1,1,1,0.96,1,1,0.992,1,0.286,0.4,0.8,0.6,0.8,0.625,0.833,0.75,0.8,0.75,0.4,1,0,0.667,0.8,0.75,1,1,1,1,0,1,1,1,1,0.757,1,1,1,1,0.5,1,1,0.5,1,0,1,1,High income,East Asia & Pacific,1,5637022
United Kingdom,GBR,2022,100,87.96666667,85.2,69.20833333,90,86.475,1,1,0.639,1,0.8525,0.861166667,1,0.675,0.833333333,0.866,1,0.069,1,0.9,1,1,1,1,1,1,1,0.819,0.581,0.393,0.583,0.819,0.639,1,1,0.8,0.84,0.6,1,0.875,0.667,1,0.9,1,0.8,0.8,1,1,0.6,0.75,1,0.5,1,1,1,1,0.33,1,1,0.069,1,1,1,1,1,1,1,1,1,0,1,1,High income,Europe & Central Asia,1,66971395
Cyprus,CYP,2022,100,88.8,70.49375,70.98333333,95,85.05541667,1,1,0.664,1,0.623666667,0.7445,0.7225,0.8125,0.833333333,0.934,1,0.072,1,0.95,1,1,1,1,1,1,1,0.71,0.681,0.45,0.612,0.867,0.664,1,0.857,0.5,0.76,0.4,0.6,0.625,0.667,0.75,0.9,0.75,0.6,0.8,0.667,0.778,1,0.625,1,0.5,1,1,1,1,0.67,1,1,0.072,1,1,1,1,0.5,1,1,1,1,1,1,1,High income,Europe & Central Asia,1,1251488
